custid,custfname,custlname,custphone,custemail,custstate,contactpref,pmtid,addedstamp,updatedstamp,hhi,ismarried,haskids,travelswpet,pronoun
3362,McKay,Garcia,(208) 863-1006,mgarcia505@hotmail.com,ID,text,386948250235,1/7/22 0:00,,100393,,,n,
3363,Carter,Anderson,(541) 267-9403,carteranderson74@yahoo.com,OR,call,280574975723,1/7/22 0:00,,144820,y,y,y,
3364,Rosemary,Lopez,(208) 576-7668,rosemarylopez99@hotmail.com,ID,call,151674898129,1/7/22 0:00,,123069,y,y,y,
3365,Benjamin,Hubbard,(480) 225-7466,benjaminhubbard12@outlook.com,AZ,email,126753051130,1/7/22 0:00,,,y,y,n,he
3366,Violet,Nicholson,(208) 870-3367,violetnicholson78@outlook.com,ID,text,775627123556,1/7/22 0:00,,91511,y,y,n,
3367,Sabrina,Rose,,srose124@icloud.com,AZ,email,134851217018,1/8/22 0:00,,77798,y,n,n,
3368,Kendall,Richardson,(760) 358-2287,kendallrichardson40@outlook.com,CA,text,357585361407,1/8/22 0:00,,,,,,
3369,Elijah,Stone,(602) 976-6124,estone17@hotmail.com,AZ,call,640266105650,1/8/22 0:00,,130874,,,n,he
3370,James,Rivera,(602) 926-2125,jamesrivera54@gmail.com,AZ,text,885668476428,1/8/22 0:00,,128854,,y,n,
3371,Finley,Bruce,(385) 674-4781,finleybruce30@outlook.com,UT,email,389734418835,1/8/22 0:00,,133018,y,,n,
3372,Sebastian,Morales,(208) 815-3074,sebastianmorales92@hotmail.com,ID,email,705001624570,1/8/22 0:00,,157506,y,,y,
3373,Alex,Glover,(801) 703-1462,alexglover58@gmail.com,UT,call,830281396358,1/8/22 0:00,,141126,y,y,n,
3374,Jack,Nichols,(208) 688-4188,jnichols946@gmail.com,ID,text,949897003464,1/8/22 0:00,,153652,y,y,y,he
3375,Luke,White,(208) 657-2401,lwhite519@hotmail.com,ID,email,,1/8/22 0:00,,167302,,y,,
3376,Christopher,Roberson,(213) 393-9376,croberson139@hotmail.com,CA,text,608555280953,1/8/22 0:00,,145036,y,y,n,
3377,Anya,Butler,(602) 920-6322,anyabutler60@yahoo.com,AZ,text,229468361226,1/8/22 0:00,,242322,y,n,y,she
3378,Emma,Stanley,(480) 373-2573,emmastanley71@yahoo.com,AZ,text,392350974347,1/8/22 0:00,,,,,,
3379,Patrick,Anderson,(602) 441-8274,panderson256@gmail.com,AZ,text,726537228486,1/8/22 0:00,,159259,y,y,y,
3380,Meadow,Alvarez,(208) 348-8334,malvarez186@gmail.com,ID,call,423180273304,1/8/22 0:00,,139575,y,y,,
3381,Kaiden,Moore,(602) 743-5449,kmoore635@hotmail.com,AZ,text,929448653282,1/8/22 0:00,,,y,,n,
3382,Bennett,Cruz,(385) 985-9671,bennettcruz26@gmail.com,UT,text,162501356093,1/8/22 0:00,,138271,y,n,n,
3383,Corey,Houston,(208) 902-6367,chouston629@outlook.com,ID,text,386638906425,1/8/22 0:00,,173633,y,y,n,he
3384,Leona,Farrell,(623) 917-3625,leonafarrell5@gmail.com,AZ,text,657153917499,1/8/22 0:00,,193026,y,y,y,she
3385,Kaiya,Sanchez,(760) 508-6915,ksanchez696@hotmail.com,CA,call,350480234859,1/8/22 0:00,,301093,y,y,,she
3386,Abigail,Peterson,(208) 648-9631,apeterson850@gmail.com,ID,email,134617968914,1/8/22 0:00,,158354,y,y,y,she
3387,Alaya,Brooks,(602) 951-4169,abrooks842@outlook.com,AZ,email,849854357036,1/8/22 0:00,,,,,,she
3388,Everlee,Dunn,(928) 628-3238,everleedunn37@gmail.com,AZ,email,793309707763,1/8/22 0:00,,,,,n,
3389,Isaac,Jacobs,(307) 626-2346,isaacjacobs81@yahoo.com,WY,call,751463471522,1/8/22 0:00,,145241,n,n,y,
3390,Trent,Kelly,(435) 324-4806,tkelly150@gmail.com,UT,call,364051154095,1/9/22 0:00,,141824,y,y,y,
3391,Carolina,Wilkerson,(208) 548-7974,cwilkerson326@yahoo.com,ID,text,604172205791,1/9/22 0:00,,123955,y,y,n,
3392,Adonis,Lopez,(928) 676-9619,alopez673@hotmail.com,AZ,email,887648720356,1/9/22 0:00,,122183,y,n,y,
3393,Braelynn,Allen,(602) 676-1136,ballen19@yahoo.com,AZ,email,631803697219,1/9/22 0:00,,120984,,,n,
3394,Daniel,Garrett,(435) 497-4272,danielgarrett36@gmail.com,UT,email,737037062892,1/9/22 0:00,,95064,y,y,n,he
3395,Viviana,Griffin,(801) 581-1695,vivianagriffin88@outlook.com,UT,call,337904899554,1/9/22 0:00,,140142,y,y,y,she
3396,William,Pugh,(435) 478-9699,wpugh304@gmail.com,UT,email,115611478402,1/9/22 0:00,,,,,,he
3397,Hailee,Coleman,(208) 767-7732,hcoleman461@yahoo.com,ID,email,499066491503,1/9/22 0:00,,145443,y,y,,
3398,Zachary,Parker,(208) 754-8150,zacharyparker1@yahoo.com,ID,text,193266631979,1/9/22 0:00,,,,,,
3399,Cynthia,Bennett,(385) 294-5734,cynthiabennett52@yahoo.com,UT,email,861391384999,1/9/22 0:00,,181226,y,y,y,she
3400,Theodore,Stewart,(208) 926-3092,theodorestewart3@gmail.com,ID,text,707542641882,1/10/22 0:00,,191380,y,y,y,
3401,August,Patterson,(801) 903-5504,augustpatterson64@hotmail.com,UT,text,101936216420,1/10/22 0:00,,,,,,
3402,Beckham,Evans,(623) 867-5705,bevans143@gmail.com,AZ,call,124416341516,1/11/22 0:00,,140502,y,n,n,
3403,Zuri,Baker,(208) 515-6526,zbaker472@icloud.com,ID,call,258446044130,1/11/22 0:00,,126026,y,y,,she
3404,Trent,Johnson,(801) 253-1656,tjohnson186@gmail.com,UT,call,827117886709,1/11/22 0:00,,,,,,he
3405,Edith,Cohen,(602) 613-1464,ecohen701@gmail.com,AZ,text,617806327545,1/11/22 0:00,,162320,y,y,y,she
3406,Maximus,Ortiz,(928) 780-5604,mortiz788@yahoo.com,AZ,text,799589212305,1/11/22 0:00,,158096,y,y,y,
3407,Troy,Allen,(208) 375-4326,tallen949@icloud.com,ID,call,720438020016,1/11/22 0:00,,,,,,he
3408,Amelia,Jennings,(208) 618-6497,ajennings684@gmail.com,ID,call,497718671877,1/11/22 0:00,,136655,y,y,y,
3409,Lacey,James,,ljames574@gmail.com,AZ,email,246081033342,1/12/22 0:00,,119502,,,n,
3410,Lyanna,Griffin,(435) 442-7245,lyannagriffin85@outlook.com,UT,text,341557226181,1/12/22 0:00,,83384,,y,,
3411,Mike,Perez,(801) 958-5553,mperez908@outlook.com,UT,text,576213563862,1/12/22 0:00,,98919,,,y,
3412,Khloe,Reyes,(208) 609-2802,khloereyes46@yahoo.com,ID,,790036889090,1/12/22 0:00,,152417,y,y,n,she
3413,Peyton,Pittman,(602) 664-8808,peytonpittman19@yahoo.com,AZ,email,837323103917,1/13/22 0:00,,129428,y,y,,she
3414,Joshua,Small,(602) 753-9720,joshuasmall32@gmail.com,AZ,,231843039474,1/13/22 0:00,,141761,n,,y,
3415,Alexander,Greer,(602) 873-1828,alexandergreer65@yahoo.com,AZ,email,450646077784,1/13/22 0:00,,,,,,he
3416,Azalea,Hughes,(602) 341-2541,ahughes715@yahoo.com,AZ,text,741211693172,1/13/22 0:00,,153153,y,y,y,
3417,Madelyn,Norton,(602) 307-5291,mnorton659@gmail.com,AZ,text,433568041506,1/13/22 0:00,,121153,y,y,,
3418,Cora,Lewis,(208) 717-6396,coralewis84@snarlywhisper.net,ID,text,110271298456,1/13/22 0:00,,104209,y,y,y,
3419,Giselle,Schultz,(602) 223-6765,gschultz999@hotmail.com,AZ,text,508937711555,1/14/22 0:00,,,y,y,y,she
3420,Rowan,Hill,(801) 596-8405,rowanhill22@yahoo.com,UT,call,409921980731,1/14/22 0:00,,118344,y,y,n,
3421,Camila,McClain,(801) 961-6931,camilamcclain91@yahoo.com,UT,text,785039214097,1/14/22 0:00,,,,,,
3422,Eli,Wilson,(602) 863-9970,eliwilson80@outlook.com,AZ,call,985863227909,1/14/22 0:00,,,y,y,n,
3423,Hayden,Vargas,(619) 605-5973,haydenvargas55@yahoo.com,CA,text,432863584256,1/14/22 0:00,,159881,,,y,
3424,Tanner,Weaver,(602) 558-5726,tweaver364@gmail.com,AZ,,858182982531,1/14/22 0:00,,,n,n,y,he
3425,Kailey,Duncan,(208) 506-8595,kduncan450@yahoo.com,ID,text,303388892940,1/14/22 0:00,,193047,y,,n,
3426,Mason,West,(208) 473-4892,mwest705@yahoo.com,ID,text,481431970976,1/14/22 0:00,,109011,y,n,y,he
3427,Maddox,Wilson,,mwilson529@yahoo.com,UT,email,,1/14/22 0:00,,131197,,y,,he
3428,Samuel,Hurst,(602) 967-6651,samuelhurst42@outlook.com,AZ,call,767771534567,1/14/22 0:00,,173304,,,,
3429,Tom,Daniel,(208) 806-5934,tomdaniel14@yahoo.com,ID,call,920210521680,1/15/22 0:00,,375101,y,n,y,he
3430,Alexis,Rice,(307) 432-1341,alexisrice53@yahoo.com,WY,call,564913971054,1/15/22 0:00,,176026,y,n,,
3431,Amelia,Navarro,(801) 822-9297,anavarro150@outlook.com,UT,text,417431381049,1/15/22 0:00,,112030,y,,,
3432,Luke,Fletcher,(623) 729-2922,lfletcher739@gmail.com,AZ,text,848227341322,1/15/22 0:00,,,,,,
3433,Serenity,Hunt,(602) 921-4187,serenityhunt77@icloud.com,AZ,call,330312453922,1/15/22 0:00,,469274,y,y,y,
3434,Raven,Small,(307) 912-2704,rsmall285@gmail.com,WY,,734541619460,1/15/22 0:00,,,,,n,
3435,Elijah,Green,(435) 932-8993,egreen784@icloud.com,UT,email,966074740240,1/15/22 0:00,,,,,,
3436,Neal,Jenkins,(208) 767-4076,nealjenkins56@yahoo.com,ID,text,347667156585,1/15/22 0:00,,117785,,,n,
3437,Cora,Jones,(602) 340-3385,corajones91@icloud.com,AZ,text,759302571619,1/15/22 0:00,,,y,n,n,
3438,Celeste,Page,(208) 323-7457,celestepage39@gmail.com,ID,text,340332454777,1/15/22 0:00,,77551,,,n,she
3439,Oaklyn,Diaz,(435) 683-8121,oaklyndiaz6@gmail.com,UT,email,410374777922,1/15/22 0:00,,79134,y,n,,she
3440,Rosie,Atkinson,(208) 567-8194,rosieatkinson36@outlook.com,ID,text,360815802485,1/15/22 0:00,,,,,,
3441,Ryan,Hansen,(801) 449-6807,ryanhansen21@snarlywhisper.net,UT,text,152139371136,1/15/22 0:00,,126025,n,,y,
3442,Brent,Ruiz,(928) 237-4935,brentruiz63@snarlywhisper.net,AZ,text,223682910354,1/15/22 0:00,,96875,n,,n,
3443,Benjamin,Neal,(520) 791-7526,bneal801@hotmail.com,AZ,text,994307841414,1/15/22 0:00,,130011,y,y,,he
3444,Simon,Powell,(385) 398-9258,spowell95@yahoo.com,UT,text,741132949277,1/15/22 0:00,,,,,,
3445,Andrew,Myers,(435) 880-1501,andrewmyers35@gmail.com,UT,call,595407121857,1/15/22 0:00,,123528,n,y,,he
3446,Charles,Harper,(208) 759-8951,charlesharper84@gmail.com,ID,call,840165122492,1/15/22 0:00,,108000,y,,y,
3447,Zachary,Carey,(801) 259-1549,zcarey482@outlook.com,UT,text,816599890355,1/15/22 0:00,,174917,y,n,y,
3448,Samuel,Elliott,(307) 739-6955,selliott597@hotmail.com,WY,text,272199962171,1/15/22 0:00,,,,,n,
3449,Bryce,Massey,(801) 850-5334,bmassey351@gmail.com,UT,text,989651268729,1/15/22 0:00,,114253,,,,he
3450,Christopher,White,(602) 986-5750,cwhite889@gmail.com,AZ,email,702340214149,1/15/22 0:00,,112220,,,y,he
3451,Damien,O'Brien,(208) 967-7752,damieno'brien69@yahoo.com,ID,email,998253460417,1/16/22 0:00,,188694,y,y,y,
3452,Jayla,Webb,(602) 545-7508,jwebb135@outlook.com,AZ,text,924288489090,1/16/22 0:00,,128920,,,y,
3453,Jack,Ramirez,(208) 884-3348,jramirez526@outlook.com,ID,text,482891181200,1/16/22 0:00,,119804,y,y,y,he
3454,Zoe,Dean,(801) 641-8069,zoedean1@gmail.com,UT,call,164979523759,1/16/22 0:00,,168127,y,,y,she
3455,Phillip,Morales,(801) 787-3427,phillipmorales39@yahoo.com,UT,email,961112800061,1/16/22 0:00,,,,,,
3456,Nicholas,Armstrong,(602) 799-3633,narmstrong810@outlook.com,AZ,text,398973184910,1/16/22 0:00,,134760,y,y,,
3457,Kyra,French,(208) 421-4307,kyrafrench9@gmail.com,ID,call,890276292150,1/16/22 0:00,,85465,y,n,y,
3458,Savannah,Whitehead,(307) 687-1596,savannahwhitehead67@gmail.com,WY,text,116347704974,1/16/22 0:00,,112522,y,y,y,
3459,Riley,Gonzalez,(208) 693-1958,rileygonzalez90@gmail.com,ID,text,939130546676,1/17/22 0:00,,158967,,y,n,he
3460,Charles,Lopez,(801) 367-3927,clopez853@yahoo.com,UT,text,724164989451,1/17/22 0:00,,,y,y,n,
3461,Mason,Chapman,(208) 660-8538,masonchapman20@hotmail.com,ID,text,248530093190,1/18/22 0:00,,114583,y,y,n,he
3462,Dulce,Herring,(541) 987-5535,dulceherring50@icloud.com,OR,email,650188208872,1/18/22 0:00,,423008,y,n,,she
3463,T.J.,Blevins,,tblevins252@gmail.com,AZ,email,878912399203,1/18/22 0:00,,195358,y,n,y,he
3464,Addison,Cook,(623) 461-2520,acook751@snarlywhisper.net,AZ,text,871692736255,1/18/22 0:00,,193602,y,n,,
3465,Ellen,Hale,(208) 568-7963,ehale285@gmail.com,ID,,413656856210,1/19/22 0:00,,110020,y,y,,
3466,Avery,Rivera,(623) 472-4372,averyrivera97@believecoase.com,AZ,,636225373869,1/19/22 0:00,,158727,y,y,n,
3467,Gabriel,Bryant,(602) 560-9238,gabrielbryant94@gmail.com,AZ,text,622134249805,1/19/22 0:00,,189895,y,y,y,he
3468,Chloe,Boyd,(435) 575-9051,cboyd400@yahoo.com,UT,text,587226833454,1/19/22 0:00,,141418,y,n,y,
3469,Harris,Palmer,(208) 933-3824,harrispalmer64@hotmail.com,ID,call,813884760936,1/19/22 0:00,,105066,y,y,y,he
3470,Mira,Frazier,(801) 761-5007,mirafrazier43@gmail.com,UT,call,530660004965,1/20/22 0:00,,171087,y,y,,she
3471,Cora,Lewis,(801) 567-8646,coralewis23@gmail.com,UT,call,169237728580,1/20/22 0:00,,122538,y,,n,
3472,Redden,Jones,(208) 801-3616,rjones467@gmail.com,ID,,989193351181,1/20/22 0:00,,118520,y,y,n,
3473,Zane,Gonzales,(435) 622-5316,zanegonzales69@gmail.com,UT,text,729064553516,1/20/22 0:00,,348294,y,y,y,
3474,Amira,Kelly,(385) 877-7597,amirakelly37@yahoo.com,UT,call,510575602812,1/20/22 0:00,,91195,y,n,y,
3475,Jackson,Hardy,(385) 773-7427,jhardy796@snarlywhisper.net,UT,text,863786683929,1/21/22 0:00,,,,,,
3476,Penny,Warren,(208) 402-8441,pennywarren8@yahoo.com,ID,call,871290320247,1/21/22 0:00,,156594,y,,y,she
3477,Lenny,Campbell,(602) 441-1459,lcampbell20@outlook.com,AZ,text,902505308222,1/21/22 0:00,,120772,y,y,,
3478,Myra,Robinson,(307) 294-7871,myrarobinson27@snarlywhisper.net,WY,text,860361453075,1/21/22 0:00,,91640,y,y,n,
3479,Alia,Torres,(385) 281-1901,aliatorres67@icloud.com,UT,text,530574340696,1/21/22 0:00,,,,,,she
3480,Kory,Gomez,(602) 775-8035,kgomez19@gmail.com,AZ,text,986349239137,1/21/22 0:00,,135207,y,y,,
3481,Ellie,Underwood,(602) 920-9670,ellieunderwood37@gmail.com,AZ,text,127983985942,1/21/22 0:00,,150157,,,y,
3482,Nick,Price,(208) 463-6085,nprice439@gmail.com,ID,email,623503355636,1/21/22 0:00,,167523,y,,y,he
3483,Wynter,Casey,(385) 352-8677,wcasey43@outlook.com,UT,email,981853365839,1/21/22 0:00,,64805,y,,,
3484,Chandler,Wiggins,(928) 385-2613,chandlerwiggins72@hotmail.com,AZ,email,229032043583,1/21/22 0:00,,111972,y,y,y,
3485,Clay,Merritt,(208) 517-5333,claymerritt18@hotmail.com,ID,text,463444074218,1/22/22 0:00,,110846,y,y,y,
3486,Karsyn,Blankenship,(623) 410-5297,karsynblankenship65@yahoo.com,AZ,text,523615687510,1/22/22 0:00,,,y,y,,
3487,Londyn,Alexander,(602) 423-7465,lalexander621@yahoo.com,AZ,text,255594725593,1/22/22 0:00,,92077,y,n,n,she
3488,Lucas,White,(208) 579-1709,lwhite551@gmail.com,ID,email,969770367750,1/22/22 0:00,,144680,y,,y,
3489,Khaleesi,Matthews,(801) 327-8456,kmatthews853@gmail.com,UT,call,609997462280,1/22/22 0:00,,,y,y,n,
3490,Zane,Griffin,(801) 452-6453,zgriffin628@hotmail.com,UT,email,272948677464,1/22/22 0:00,,125734,y,y,n,
3491,Aaliyah,Ward,(385) 685-2888,aaliyahward66@gmail.com,UT,,523398581835,1/22/22 0:00,,,y,n,n,
3492,Ryan,Pitts,(208) 908-1064,rpitts849@yahoo.com,ID,email,799633511170,1/22/22 0:00,,191415,y,y,y,
3493,Camila,Powell,(602) 956-9305,cpowell245@yahoo.com,AZ,text,840176958088,1/22/22 0:00,,188095,,n,n,
3494,Jesse,Mitchell,(208) 739-3512,jmitchell213@hotmail.com,ID,text,344162515223,1/22/22 0:00,,145178,y,n,y,
3495,Tim,Schneider,(385) 555-9081,tschneider100@snarlywhisper.net,UT,call,779700712742,1/22/22 0:00,,141935,y,y,y,
3496,Zachary,Newman,(801) 815-6179,zacharynewman65@gmail.com,UT,email,953757460370,1/22/22 0:00,,127325,y,y,,he
3497,Aiden,Lopez,(602) 308-5448,alopez617@outlook.com,AZ,email,840192904743,1/22/22 0:00,,111602,y,y,n,he
3498,Theodore,Hansen,(208) 248-5069,thansen909@hotmail.com,ID,email,290608202272,1/22/22 0:00,,122330,y,y,,he
3499,Houston,Fisher,,hfisher300@gmail.com,UT,email,307875602150,1/22/22 0:00,,102665,,y,n,
3500,Zachary,Rivera,(801) 882-1860,zacharyrivera89@gmail.com,UT,,978212898552,1/22/22 0:00,,173281,,y,n,
3501,Lucia,Nelson,(602) 552-9655,lnelson199@gmail.com,AZ,email,174349940877,1/22/22 0:00,,153104,,,y,she
3502,Gianna,Boyd,(208) 957-6506,gboyd101@gmail.com,ID,text,123531277456,1/22/22 0:00,,171612,y,y,y,
3503,Callie,Kim,(602) 969-4049,ckim781@snarlywhisper.net,AZ,text,514054433655,1/22/22 0:00,,122745,,y,,she
3504,Aurelia,Ayers,(801) 656-7191,aureliaayers10@outlook.com,UT,text,341072674417,1/22/22 0:00,,130073,y,n,n,
3505,Mason,Hayes,(385) 626-5490,masonhayes29@gmail.com,UT,text,755782350926,1/23/22 0:00,,,y,n,y,he
3506,Emilee,Rivers,,erivers765@hotmail.com,UT,email,929751680675,1/23/22 0:00,,158736,y,y,n,
3507,Lane,O'Brien,(602) 233-3593,lo'brien914@hotmail.com,AZ,,750244241254,1/23/22 0:00,,116706,y,y,y,
3508,Robert,Rodriguez,(702) 985-6032,robertrodriguez92@outlook.com,NV,email,595638755942,1/23/22 0:00,,,,,,
3509,Charleigh,Wiley,(385) 576-2639,cwiley454@gmail.com,UT,email,525568039139,1/23/22 0:00,,114927,y,n,,
3510,Abel,Roy,(509) 967-4503,abelroy14@gmail.com,WA,,411806528224,1/23/22 0:00,,168562,n,n,n,
3511,Colton,French,(385) 487-9272,cfrench280@hotmail.com,UT,text,528031876944,1/23/22 0:00,,131848,,n,n,he
3512,Isaiah,Woods,(801) 865-3638,isaiahwoods92@snarlywhisper.net,UT,text,196003816485,1/23/22 0:00,,138000,y,y,y,he
3513,Daniel,Reyes,(208) 226-7571,danielreyes75@gmail.com,ID,text,950922605121,1/23/22 0:00,,,,,,
3514,Coen,Hill,(480) 740-1771,chill312@icloud.com,AZ,email,227326825588,1/23/22 0:00,,104735,n,y,y,
3515,Ian,Manning,(208) 235-1103,imanning721@hotmail.com,ID,email,102691372882,1/23/22 0:00,,96141,y,y,y,
3516,Felix,Fox,(602) 510-4195,felixfox49@yahoo.com,AZ,call,413059790637,1/23/22 0:00,,83391,,,y,
3517,Nora,Morris,(435) 793-9386,nmorris70@snarlywhisper.net,UT,call,278773993129,1/23/22 0:00,,394958,y,y,y,
3518,Adelyn,Goodman,(801) 837-2338,agoodman888@outlook.com,UT,call,870370392680,1/24/22 0:00,,103934,,,n,
3519,Olivia,Robinson,(801) 501-7910,orobinson443@yahoo.com,UT,text,652822973577,1/24/22 0:00,,139231,y,y,n,
3520,Christina,Lee,(208) 286-4153,christinalee52@gmail.com,ID,text,664592177750,1/24/22 0:00,,97864,y,y,n,
3521,Kingston,Chandler,(208) 396-6375,kchandler857@icloud.com,ID,,522314736923,1/25/22 0:00,,348067,y,n,y,
3522,Wyatt,Vance,(602) 220-5256,wvance156@yahoo.com,AZ,text,740830932275,1/25/22 0:00,,133909,,,y,
3523,Judah,Martinez,(928) 377-4921,jmartinez933@hotmail.com,AZ,email,462808777283,1/25/22 0:00,,151164,y,y,y,he
3524,Dallas,Richardson,(208) 987-9184,drichardson873@gmail.com,ID,text,382090178729,1/26/22 0:00,,,,,,
3525,Aiden,Stephens,(702) 359-6078,aidenstephens73@yahoo.com,NV,text,964998962708,1/26/22 0:00,,160435,y,y,y,he
